x,y
2.000,9.000
3.000,16.000
4.000,25.000
5.000,36.000
6.000,49.000
7.000,64.000
8.000,81.000
9.000,100.000
10.000,121.000
11.000,144.000
12.000,169.000
13.000,196.000
14.000,225.000
15.000,256.000
16.000,289.000
17.000,324.000
18.000,361.000
19.000,400.000
20.000,441.000
21.000,484.000
22.000,529.000
23.000,576.000
24.000,625.000
25.000,676.000
26.000,729.000
27.000,784.000
28.000,841.000
29.000,900.000
30.000,961.000
31.000,1024.000
32.000,1089.000
33.000,1156.000
34.000,1225.000
35.000,1296.000
36.000,1369.000
37.000,1444.000
38.000,1521.000
39.000,1600.000
40.000,1681.000
41.000,1764.000
42.000,1849.000
43.000,1936.000
44.000,2025.000
45.000,2116.000
46.000,2209.000
47.000,2304.000
48.000,2401.000
49.000,2500.000
50.000,2601.000
51.000,2704.000
52.000,2809.000
53.000,2916.000
54.000,3025.000
55.000,3136.000
56.000,3249.000
57.000,3364.000
58.000,3481.000
59.000,3600.000
60.000,3721.000
61.000,3844.000
62.000,3969.000
63.000,4096.000
64.000,4225.000
65.000,4356.000
66.000,4489.000
67.000,4624.000
68.000,4761.000
69.000,4900.000
70.000,5041.000
71.000,5184.000
72.000,5329.000
73.000,5476.000
74.000,5625.000
75.000,5776.000
76.000,5929.000
77.000,6084.000
78.000,6241.000
79.000,6400.000
